"Reeks","Wedstrijdnr","Datum","Uur","Thuis","Bezoekers","Sporthall","Uitslag","Setstanden","Uitslag reserven","Setstanden reserven"
"U17 Meisjes 2e Provinciale D","U17M2PD-0013","13/10/2018","11:45","VBT MACHELEN","JEUGDVOLLEYBAL LONDERZEEL A","Sporthal Bosveld, Machelen","","","",""
"Jeugdbeker VLBR U13 Meisjes","JBVLBR U13M-007","13/10/2018","12:00","VOLLEY BELLINGEN HALLE","VBT MACHELEN","GO! Technisch Atheneum Halle","","","",""
"U11 Gemengd 3e Provinciale C 2-2","U11X3PC 2-2-0013","13/10/2018","14:00","VBT MACHELEN","DAVOC LOT C","Sporthal Bosveld, Machelen","","","",""
"U15 Meisjes 2e Provinciale C","U15M2PC-0011","13/10/2018","14:00","VBT MACHELEN B","HZ 93 HOFSTADE-ZEMST","Sporthal Bosveld, Machelen","","","",""
"2de Provinciale Mannen B","2PMB-0029","13/10/2018","16:00","VBT MACHELEN B","JEUGDVOLLEYBAL LONDERZEEL","Sporthal Bosveld, Machelen","","","",""
"Jeugdbeker VLBR U17 Meisjes","JBVLBR U17M-004","13/10/2018","17:30","N.V.V. TIENEN","VBT MACHELEN","Sportschuur Houtemveld, Tienen","","","",""
"3de Provinciale Mannen A","3PMA-0025","13/10/2018","20:00","VBT MACHELEN C","VC FENIKS HAACHT E","Sporthal Bosveld, Machelen","","","",""
"2de Provinciale Vrouwen B","2PVB-0026","13/10/2018","20:00","VOLLEY BELLINGEN HALLE A","VBT MACHELEN A","Sportcomplex De Bres, Halle","","","",""
"2de Provinciale Mannen B","2PMB-0034","19/10/2018","20:30","DAVOC LOT B","VBT MACHELEN B","Vogelenzang, Lot","","","",""
"U15 Jongens 2e Provinciale B","U15J2PB-0022","20/10/2018","09:30","VBT MACHELEN B","VOLLEY OPWIJK - LINDEMANS AALST","Sporthal Bosveld, Machelen","","","",""
