Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
2de Provinciale Vrouwen B,2PVB-0006,27/10/2018,17:00,KEVOC KEERBERGEN B,VBT MACHELEN A,"Gemeentelijke Sporthal, Keerbergen",,,,
2de Provinciale Vrouwen B,2PVB-0042,10/11/2018,20:30,DA@MET LIEDEKERKE,VBT MACHELEN A,"Sporthal Heuvelkouter, Liedekerke",,,,
2de Provinciale Vrouwen B,2PVB-0066,24/11/2018,20:30,VBT MACHELEN A,VC KNØDDE MEISE A,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0120,01/12/2018,20:30,VBT MACHELEN A,VOLLEY SCHEPDAAL VZW B,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0060,08/12/2018,15:30,VC LENNIK DAMES B,VBT MACHELEN A,"Gem. Sporthal Jo Baetens, Lennik",,,,
2de Provinciale Vrouwen B,2PVB-0072,22/12/2018,16:15,VBT MACHELEN A,KEVOC KEERBERGEN B,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0096,05/01/2019,20:30,VBT MACHELEN A,VOLLEY BELLINGEN HALLE A,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0077,12/01/2019,20:00,RUISBROEK 84 A,VBT MACHELEN A,"Sporthal A.J. Braillard, Ruisbroek",,,,
2de Provinciale Vrouwen B,2PVB-0084,19/01/2019,16:15,VBT MACHELEN A,WOLVERTEM SPORTING A,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0087,26/01/2019,20:00,DAVOC LOT,VBT MACHELEN A,"Vogelenzang, Lot",,,,
2de Provinciale Vrouwen B,2PVB-0112,02/02/2019,20:30,VOLLEY OPWIJK,VBT MACHELEN A,"Gemeentelijke Sporthal, Opwijk",,,,
2de Provinciale Vrouwen B,2PVB-0097,17/02/2019,18:00,VC ETERNIT KAPELLE O/D BOS A,VBT MACHELEN A,"Sporthal Eternit, Kapelle-op-den-Bos",,,,
2de Provinciale Vrouwen B,2PVB-0108,23/02/2019,20:30,VBT MACHELEN A,DA@MET LIEDEKERKE,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0048,16/03/2019,21:00,VBT MACHELEN A,VOLLEY OPWIJK,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0054,22/03/2019,21:00,VOLLEY SCHEPDAAL VZW B,VBT MACHELEN A,"Sporthal Caerenbergveld, Schepdaal",,,,
2de Provinciale Vrouwen B,2PVB-0126,30/03/2019,20:30,VBT MACHELEN A,VC LENNIK DAMES B,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Vrouwen B,2PVB-0128,06/04/2019,20:30,VC KNØDDE MEISE A,VBT MACHELEN A,Sporthal Meise,,,,
3de Provinciale Vrouwen D,3PVD-0010,22/09/2018,18:00,VBT MACHELEN B,KEVOC KEERBERGEN C,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Vrouwen D,3PVD-0014,30/09/2018,13:30,VC ETERNIT KAPELLE O/D BOS C,VBT MACHELEN B,"Sporthal Eternit, Kapelle-op-den-Bos",,,,
3de Provinciale Vrouwen D,3PVD-0022,06/10/2018,18:00,VBT MACHELEN B,VC KNØDDE MEISE B,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Vrouwen D,3PVD-0004,03/11/2018,20:30,JEUGDVOLLEYBAL LONDERZEEL C,VBT MACHELEN B,"Sportcentrum Blauvenne, Londerzeel",,,,
3de Provinciale Vrouwen D,3PVD-0038,11/11/2018,13:30,VC ETERNIT KAPELLE O/D BOS B,VBT MACHELEN B,"Sporthal Eternit, Kapelle-op-den-Bos",,,,
3de Provinciale Vrouwen D,3PVD-0114,18/11/2018,15:30,SPARTANA STEENOKKERZEEL,VBT MACHELEN B,"Gemeentelijke Sporthal, Steenokkerzeel",,,,
3de Provinciale Vrouwen D,3PVD-0094,24/11/2018,19:00,VBT MACHELEN B,WOLVERTEM SPORTING C,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Vrouwen D,3PVD-0054,01/12/2018,17:00,VBT MACHELEN B,JEUGDVOLLEYBAL LONDERZEEL B,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Vrouwen D,3PVD-0058,08/12/2018,20:00,V.C. ZAVATH ZAVENTEM,VBT MACHELEN B,"Gemeentelijke Sporthal, Zaventem",,,,
3de Provinciale Vrouwen D,3PVD-0132,14/12/2018,21:00,ZUUN VOLLEYBAL CLUB D,VBT MACHELEN B,"Wildersportcomplex, Sint-Pieters-Leeuw",,,,
3de Provinciale Vrouwen D,3PVD-0070,22/12/2018,18:00,VBT MACHELEN B,JEUGDVOLLEYBAL LONDERZEEL C,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Vrouwen D,3PVD-0075,12/01/2019,17:00,KEVOC KEERBERGEN C,VBT MACHELEN B,"Gemeentelijke Sporthal, Keerbergen",,,,
3de Provinciale Vrouwen D,3PVD-0082,19/01/2019,18:00,VBT MACHELEN B,VC ETERNIT KAPELLE O/D BOS C,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Vrouwen D,3PVD-0085,26/01/2019,20:30,VC KNØDDE MEISE B,VBT MACHELEN B,Sporthal Meise,,,,
3de Provinciale Vrouwen D,3PVD-0030,02/02/2019,18:30,WOLVERTEM SPORTING C,VBT MACHELEN B,"Sportschuur, Wolvertem",,,,
3de Provinciale Vrouwen D,3PVD-0104,23/02/2019,18:00,VBT MACHELEN B,VC ETERNIT KAPELLE O/D BOS B,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Vrouwen D,3PVD-0124,09/03/2019,18:00,VBT MACHELEN B,V.C. ZAVATH ZAVENTEM,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Vrouwen D,3PVD-0044,16/03/2019,18:00,VBT MACHELEN B,SPARTANA STEENOKKERZEEL,"Sporthal Bosveld, Machelen",,,,
3de Provinciale Vrouwen D,3PVD-0120,23/03/2019,20:30,JEUGDVOLLEYBAL LONDERZEEL B,VBT MACHELEN B,"Sportcentrum Blauvenne, Londerzeel",,,,
